name,index,x,y,w,h,source_file
baab_water,39,127,19,16,16,gun_actions/baab_water.png
ball_lightning,40,145,19,16,16,gun_actions/ball_lightning.png
bee,41,163,19,16,16,gun_actions/bee.png
berserk,42,181,19,16,16,gun_actions/berserk.png
berserk_field,43,199,19,16,16,gun_actions/berserk_field.png
berserk_field_unidentified,44,217,19,16,16,gun_actions/berserk_field_unidentified.png
big_magic_shield,45,235,19,16,16,gun_actions/big_magic_shield.png
black_hole,46,253,19,16,16,gun_actions/black_hole.png
black_hole_big,47,271,19,16,16,gun_actions/black_hole_big.png
black_hole_big_unidentified,48,289,19,16,16,gun_actions/black_hole_big_unidentified.png
black_hole_giga,49,307,19,16,16,gun_actions/black_hole_giga.png
black_hole_timer,50,325,19,16,16,gun_actions/black_hole_timer.png
black_hole_unidentified,51,343,19,16,16,gun_actions/black_hole_unidentified.png
blindness,52,361,19,16,16,gun_actions/blindness.png
blood_magic,53,379,19,16,16,gun_actions/blood_magic.png
blood_punch,54,397,19,16,16,gun_actions/blood_punch.png
blood_to_acid,55,415,19,16,16,gun_actions/blood_to_acid.png
blood_trail,56,433,19,16,16,gun_actions/blood_trail.png
bloodlust,57,451,19,16,16,gun_actions/bloodlust.png
bloodtentacle,58,469,19,16,16,gun_actions/bloodtentacle.png
bloomshot,59,487,19,16,16,gun_actions/bloomshot.png
bomb,60,505,19,16,16,gun_actions/bomb.png
bomb_cart,61,523,19,16,16,gun_actions/bomb_cart.png
bomb_holy,62,541,19,16,16,gun_actions/bomb_holy.png
bomb_holy_giga,63,559,19,16,16,gun_actions/bomb_holy_giga.png
bomb_trailer,64,1,37,16,16,gun_actions/bomb_trailer.png
bomb_unidentified,65,19,37,16,16,gun_actions/bomb_unidentified.png
bounce,66,37,37,16,16,gun_actions/bounce.png
bounce_explosion,67,55,37,16,16,gun_actions/bounce_explosion.png
bounce_hole,68,73,37,16,16,gun_actions/bounce_hole.png
bounce_larpa,69,91,37,16,16,gun_actions/bounce_larpa.png
bounce_laser,70,109,37,16,16,gun_actions/bounce_laser.png
bounce_laser_emitter,71,127,37,16,16,gun_actions/bounce_laser_emitter.png
bounce_lightning,72,145,37,16,16,gun_actions/bounce_lightning.png
bounce_small_explosion,73,163,37,16,16,gun_actions/bounce_small_explosion.png
bounce_spark,74,181,37,16,16,gun_actions/bounce_spark.png
bounce_unidentified,75,199,37,16,16,gun_actions/bounce_unidentified.png
bouncy_orb,76,217,37,16,16,gun_actions/bouncy_orb.png
bouncy_orb_timer,77,235,37,16,16,gun_actions/bouncy_orb_timer.png
bouncy_orb_timer_2,78,253,37,16,16,gun_actions/bouncy_orb_timer_2.png
broken_spell,79,271,37,16,16,gun_actions/broken_spell.png
bubbleshot,80,289,37,16,16,gun_actions/bubbleshot.png
bubbleshot_trigger,81,307,37,16,16,gun_actions/bubbleshot_trigger.png
bubbleshot_trigger_unidentified,82,325,37,16,16,gun_actions/bubbleshot_trigger_unidentified.png
bubbleshot_unidentified,83,343,37,16,16,gun_actions/bubbleshot_unidentified.png
buckshot,84,361,37,16,16,gun_actions/buckshot.png
building_back_wall_rock,85,379,37,16,16,gun_actions/building_back_wall_rock.png
building_board_wood,86,397,37,16,16,gun_actions/building_board_wood.png
building_physics_templedoor,87,415,37,16,16,gun_actions/building_physics_templedoor.png
building_pressure_plate,88,433,37,16,16,gun_actions/building_pressure_plate.png
bullet,89,451,37,16,16,gun_actions/bullet.png
bullet_timer,90,469,37,16,16,gun_actions/bullet_timer.png
bullet_timer_unidentified,91,487,37,16,16,gun_actions/bullet_timer_unidentified.png
bullet_trigger,92,505,37,16,16,gun_actions/bullet_trigger.png
bullet_trigger_unidentified,93,523,37,16,16,gun_actions/bullet_trigger_unidentified.png
bullet_unidentified,94,541,37,16,16,gun_actions/bullet_unidentified.png
burn_trail,95,559,37,16,16,gun_actions/burn_trail.png
burn_trail_unidentified,96,1,55,16,16,gun_actions/burn_trail_unidentified.png
burning_critical,97,19,55,16,16,gun_actions/burning_critical.png
burst_2,98,37,55,16,16,gun_actions/burst_2.png
burst_2_unidentified,99,55,55,16,16,gun_actions/burst_2_unidentified.png
burst_3,100,73,55,16,16,gun_actions/burst_3.png
burst_3_unidentified,101,91,55,16,16,gun_actions/burst_3_unidentified.png
burst_4,102,109,55,16,16,gun_actions/burst_4.png
burst_4_unidentified,103,127,55,16,16,gun_actions/burst_4_unidentified.png
burst_8,104,145,55,16,16,gun_actions/burst_8.png
burst_x,105,163,55,16,16,gun_actions/burst_x.png
caster_cast,106,181,55,16,16,gun_actions/caster_cast.png
cement,107,199,55,16,16,gun_actions/cement.png
cessation,108,217,55,16,16,gun_actions/cessation.png
chain_bolt,109,235,55,16,16,gun_actions/chain_bolt.png
chain_shot,110,253,55,16,16,gun_actions/chain_shot.png
chainsaw,111,271,55,16,16,gun_actions/chainsaw.png
chainsaw_unidentified,112,289,55,16,16,gun_actions/chainsaw_unidentified.png
chaos_polymorph_field,113,307,55,16,16,gun_actions/chaos_polymorph_field.png
chaos_polymorph_field_unidentified,114,325,55,16,16,gun_actions/chaos_polymorph_field_unidentified.png
chaotic_arc,115,343,55,16,16,gun_actions/chaotic_arc.png
charm,116,361,55,16,16,gun_actions/charm.png
charm_field,117,379,55,16,16,gun_actions/charm_field.png
charm_on_burning,118,397,55,16,16,gun_actions/charm_on_burning.png
charm_on_toxic,119,415,55,16,16,gun_actions/charm_on_toxic.png
circle_acid,120,433,55,16,16,gun_actions/circle_acid.png
circle_fire,121,451,55,16,16,gun_actions/circle_fire.png
circle_oil,122,469,55,16,16,gun_actions/circle_oil.png
circle_shape,123,487,55,16,16,gun_actions/circle_shape.png
circle_shape_unidentified,124,505,55,16,16,gun_actions/circle_shape_unidentified.png
circle_water,125,523,55,16,16,gun_actions/circle_water.png
cleaning_tool,126,541,55,16,16,gun_actions/cleaning_tool.png
clipping_shot,127,559,55,16,16,gun_actions/clipping_shot.png
cloud_acid,128,1,73,16,16,gun_actions/cloud_acid.png
cloud_blood,129,19,73,16,16,gun_actions/cloud_blood.png
cloud_oil,130,37,73,16,16,gun_actions/cloud_oil.png
cloud_thunder,131,55,73,16,16,gun_actions/cloud_thunder.png
cloud_water,132,73,73,16,16,gun_actions/cloud_water.png
cloud_water_unidentified,133,91,73,16,16,gun_actions/cloud_water_unidentified.png
clusterbomb,134,109,73,16,16,gun_actions/clusterbomb.png
colour_blue,135,127,73,16,16,gun_actions/colour_blue.png
colour_green,136,145,73,16,16,gun_actions/colour_green.png
colour_invis,137,163,73,16,16,gun_actions/colour_invis.png
colour_orange,138,181,73,16,16,gun_actions/colour_orange.png
colour_purple,139,199,73,16,16,gun_actions/colour_purple.png
colour_rainbow,140,217,73,16,16,gun_actions/colour_rainbow.png
colour_red,141,235,73,16,16,gun_actions/colour_red.png
colour_yellow,142,253,73,16,16,gun_actions/colour_yellow.png
commander_bullet,143,271,73,16,16,gun_actions/commander_bullet.png
critical_blood,144,289,73,16,16,gun_actions/critical_blood.png
critical_hit,145,307,73,16,16,gun_actions/critical_hit.png
critical_oil,146,325,73,16,16,gun_actions/critical_oil.png
critical_water,147,343,73,16,16,gun_actions/critical_water.png
critical_wet,148,361,73,16,16,gun_actions/critical_wet.png
crumbling_earth,149,379,73,16,16,gun_actions/crumbling_earth.png
crumbling_earth_projectile,150,397,73,16,16,gun_actions/crumbling_earth_projectile.png
curse,151,415,73,16,16,gun_actions/curse.png
curse_wither_electricity,152,433,73,16,16,gun_actions/curse_wither_electricity.png
curse_wither_explosion,153,451,73,16,16,gun_actions/curse_wither_explosion.png
curse_wither_melee,154,469,73,16,16,gun_actions/curse_wither_melee.png
curse_wither_projectile,155,487,73,16,16,gun_actions/curse_wither_projectile.png
cursed_orb,156,505,73,16,16,gun_actions/cursed_orb.png
damage,157,523,73,16,16,gun_actions/damage.png
damage_forever,158,541,73,16,16,gun_actions/damage_forever.png
damage_friendly,159,559,73,16,16,gun_actions/damage_friendly.png
damage_friendly_unidentified,160,1,91,16,16,gun_actions/damage_friendly_unidentified.png
damage_random,161,19,91,16,16,gun_actions/damage_random.png
damage_unidentified,162,37,91,16,16,gun_actions/damage_unidentified.png
damage_x2,163,55,91,16,16,gun_actions/damage_x2.png
damage_x2_unidentified,164,73,91,16,16,gun_actions/damage_x2_unidentified.png
damage_x5,165,91,91,16,16,gun_actions/damage_x5.png
darkflame,166,109,91,16,16,gun_actions/darkflame.png
darkflame_unidentified,167,127,91,16,16,gun_actions/darkflame_unidentified.png
death_cross,168,145,91,16,16,gun_actions/death_cross.png
death_cross_big,169,163,91,16,16,gun_actions/death_cross_big.png
death_cross_unidentified,170,181,91,16,16,gun_actions/death_cross_unidentified.png
death_trigger,171,199,91,16,16,gun_actions/death_trigger.png
decelerating_shot,172,217,91,16,16,gun_actions/decelerating_shot.png
decoy,173,235,91,16,16,gun_actions/decoy.png
decoy_trigger,174,253,91,16,16,gun_actions/decoy_trigger.png
decoy_trigger_unidentified,175,271,91,16,16,gun_actions/decoy_trigger_unidentified.png
decoy_unidentified,176,289,91,16,16,gun_actions/decoy_unidentified.png
delayed_spell,177,307,91,16,16,gun_actions/delayed_spell.png
destruction,178,325,91,16,16,gun_actions/destruction.png
digger,179,343,91,16,16,gun_actions/digger.png
digger_unidentified,180,361,91,16,16,gun_actions/digger_unidentified.png
disc_bullet,181,379,91,16,16,gun_actions/disc_bullet.png
disc_bullet_big,182,397,91,16,16,gun_actions/disc_bullet_big.png
disc_bullet_unidentified,183,415,91,16,16,gun_actions/disc_bullet_unidentified.png
divide_10,184,433,91,16,16,gun_actions/divide_10.png
divide_2,185,451,91,16,16,gun_actions/divide_2.png
divide_3,186,469,91,16,16,gun_actions/divide_3.png
divide_4,187,487,91,16,16,gun_actions/divide_4.png
draw_3_random,188,505,91,16,16,gun_actions/draw_3_random.png
draw_random,189,523,91,16,16,gun_actions/draw_random.png
draw_random_x3,190,541,91,16,16,gun_actions/draw_random_x3.png
drone,191,559,91,16,16,gun_actions/drone.png
duck,192,1,109,16,16,gun_actions/duck.png
duck_2,193,19,109,16,16,gun_actions/duck_2.png
duplicate,194,37,109,16,16,gun_actions/duplicate.png
duplicate_on_death,195,55,109,16,16,gun_actions/duplicate_on_death.png
dynamite,196,73,109,16,16,gun_actions/dynamite.png
dynamite_unidentified,197,91,109,16,16,gun_actions/dynamite_unidentified.png
electric_charge,198,109,109,16,16,gun_actions/electric_charge.png
electric_charge_unidentified,199,127,109,16,16,gun_actions/electric_charge_unidentified.png
electrocution_field,200,145,109,16,16,gun_actions/electrocution_field.png
electrocution_field_unidentified,201,163,109,16,16,gun_actions/electrocution_field_unidentified.png
empty,202,181,109,16,16,gun_actions/empty.png
energy_shield,203,199,109,16,16,gun_actions/energy_shield.png
energy_shield_sector,204,217,109,16,16,gun_actions/energy_shield_sector.png
energy_shield_sector_unidentified,205,235,109,16,16,gun_actions/energy_shield_sector_unidentified.png
energy_shield_shot,206,253,109,16,16,gun_actions/energy_shield_shot.png
energy_shield_unidentified,207,271,109,16,16,gun_actions/energy_shield_unidentified.png
enlarge,208,289,109,16,16,gun_actions/enlarge.png
essence_to_power,209,307,109,16,16,gun_actions/essence_to_power.png
expanding_orb,210,325,109,16,16,gun_actions/expanding_orb.png
explode_on_alcohol,211,343,109,16,16,gun_actions/explode_on_alcohol.png
explode_on_alcohol_giga,212,361,109,16,16,gun_actions/explode_on_alcohol_giga.png
explode_on_slime,213,379,109,16,16,gun_actions/explode_on_slime.png
explode_on_slime_giga,214,397,109,16,16,gun_actions/explode_on_slime_giga.png
exploding_deer,215,415,109,16,16,gun_actions/exploding_deer.png
exploding_deer_unidentified,216,433,109,16,16,gun_actions/exploding_deer_unidentified.png
explosion,217,451,109,16,16,gun_actions/explosion.png
explosion_light,218,469,109,16,16,gun_actions/explosion_light.png
explosion_remove,219,487,109,16,16,gun_actions/explosion_remove.png
explosion_tiny,220,505,109,16,16,gun_actions/explosion_tiny.png
explosion_unidentified,221,523,109,16,16,gun_actions/explosion_unidentified.png
explosive_projectile,222,541,109,16,16,gun_actions/explosive_projectile.png
explosive_projectile_unidentified,223,559,109,16,16,gun_actions/explosive_projectile_unidentified.png
fire_blast,224,1,127,16,16,gun_actions/fire_blast.png
fire_blast_unidentified,225,19,127,16,16,gun_actions/fire_blast_unidentified.png
fire_trail,226,37,127,16,16,gun_actions/fire_trail.png
fire_trail_unidentified,227,55,127,16,16,gun_actions/fire_trail_unidentified.png
fireball,228,73,127,16,16,gun_actions/fireball.png
fireball_ray,229,91,127,16,16,gun_actions/fireball_ray.png
fireball_ray_enemy,230,109,127,16,16,gun_actions/fireball_ray_enemy.png
fireball_ray_line,231,127,127,16,16,gun_actions/fireball_ray_line.png
fireball_unidentified,232,145,127,16,16,gun_actions/fireball_unidentified.png
firebomb,233,163,127,16,16,gun_actions/firebomb.png
firebomb_unidentified,234,181,127,16,16,gun_actions/firebomb_unidentified.png
fireworks,235,199,127,16,16,gun_actions/fireworks.png
fish,236,217,127,16,16,gun_actions/fish.png
fizzle,237,235,127,16,16,gun_actions/fizzle.png
flamethrower,238,253,127,16,16,gun_actions/flamethrower.png
flamethrower_unidentified,239,271,127,16,16,gun_actions/flamethrower_unidentified.png
floating_arc,240,289,127,16,16,gun_actions/floating_arc.png
flowershot,241,307,127,16,16,gun_actions/flowershot.png
fly_downwards,242,325,127,16,16,gun_actions/fly_downwards.png
fly_upwards,243,343,127,16,16,gun_actions/fly_upwards.png
freeze,244,361,127,16,16,gun_actions/freeze.png
freeze_alt,245,379,127,16,16,gun_actions/freeze_alt.png
freeze_field,246,397,127,16,16,gun_actions/freeze_field.png
freeze_field_unidentified,247,415,127,16,16,gun_actions/freeze_field_unidentified.png
freeze_unidentified,248,433,127,16,16,gun_actions/freeze_unidentified.png
freezing_gaze,249,451,127,16,16,gun_actions/freezing_gaze.png
friend_fly,250,469,127,16,16,gun_actions/friend_fly.png
gamma,251,487,127,16,16,gun_actions/gamma.png
generate_random_deck_5,252,505,127,16,16,gun_actions/generate_random_deck_5.png
glitter_bomb,253,523,127,16,16,gun_actions/glitter_bomb.png
glowing_bolt,254,541,127,16,16,gun_actions/glowing_bolt.png
glue_shot,255,559,127,16,16,gun_actions/glue_shot.png
golden_punch,256,1,145,16,16,gun_actions/golden_punch.png
gore,257,19,145,16,16,gun_actions/gore.png
gravity,258,37,145,16,16,gun_actions/gravity.png
gravity_anti,259,55,145,16,16,gun_actions/gravity_anti.png
gravity_field_enemy,260,73,145,16,16,gun_actions/gravity_field_enemy.png
grenade,261,91,145,16,16,gun_actions/grenade.png
grenade_anti,262,109,145,16,16,gun_actions/grenade_anti.png
grenade_large,263,127,145,16,16,gun_actions/grenade_large.png
grenade_tier_2,264,145,145,16,16,gun_actions/grenade_tier_2.png
grenade_tier_3,265,163,145,16,16,gun_actions/grenade_tier_3.png
grenade_trigger,266,181,145,16,16,gun_actions/grenade_trigger.png
grenade_trigger_unidentified,267,199,145,16,16,gun_actions/grenade_trigger_unidentified.png
grenade_unidentified,268,217,145,16,16,gun_actions/grenade_unidentified.png
gun,269,235,145,16,16,gun_actions/gun.png
gunpowder_trail,270,253,145,16,16,gun_actions/gunpowder_trail.png
heal_bullet,271,271,145,16,16,gun_actions/heal_bullet.png
heal_bullet_unidentified,272,289,145,16,16,gun_actions/heal_bullet_unidentified.png
heavy_bullet,273,307,145,16,16,gun_actions/heavy_bullet.png
heavy_bullet_timer,274,325,145,16,16,gun_actions/heavy_bullet_timer.png
heavy_bullet_timer_unidentified,275,343,145,16,16,gun_actions/heavy_bullet_timer_unidentified.png
heavy_bullet_trigger,276,361,145,16,16,gun_actions/heavy_bullet_trigger.png
heavy_bullet_trigger_unidentified,277,379,145,16,16,gun_actions/heavy_bullet_trigger_unidentified.png
heavy_bullet_unidentified,278,397,145,16,16,gun_actions/heavy_bullet_unidentified.png
heavy_shot,279,415,145,16,16,gun_actions/heavy_shot.png
heavy_shot_unidentified,280,433,145,16,16,gun_actions/heavy_shot_unidentified.png
heavy_spread,281,451,145,16,16,gun_actions/heavy_spread.png
hexa_shot,282,469,145,16,16,gun_actions/hexa_shot.png
high_explosive,283,487,145,16,16,gun_actions/high_explosive.png
homing,284,505,145,16,16,gun_actions/homing.png
homing_accelerating,285,523,145,16,16,gun_actions/homing_accelerating.png
homing_area,286,541,145,16,16,gun_actions/homing_area.png
homing_cursor,287,559,145,16,16,gun_actions/homing_cursor.png
homing_projectile,288,1,163,16,16,gun_actions/homing_projectile.png
homing_rotate,289,19,163,16,16,gun_actions/homing_rotate.png
homing_shooter,290,37,163,16,16,gun_actions/homing_shooter.png
homing_short,291,55,163,16,16,gun_actions/homing_short.png
homing_unidentified,292,73,163,16,16,gun_actions/homing_unidentified.png
homing_wand,293,91,163,16,16,gun_actions/homing_wand.png
hook,294,109,163,16,16,gun_actions/hook.png
horizontal_arc,295,127,163,16,16,gun_actions/horizontal_arc.png
i-shape,296,145,163,16,16,gun_actions/i-shape.png
i_shape,297,163,163,16,16,gun_actions/i_shape.png
i_shape_unidentified,298,181,163,16,16,gun_actions/i_shape_unidentified.png
i_shot,299,199,163,16,16,gun_actions/i_shot.png
iceball,300,217,163,16,16,gun_actions/iceball.png
icecircle,301,235,163,16,16,gun_actions/icecircle.png
icethrower,302,253,163,16,16,gun_actions/icethrower.png
if_else,303,271,163,16,16,gun_actions/if_else.png
if_end,304,289,163,16,16,gun_actions/if_end.png
if_enemy,305,307,163,16,16,gun_actions/if_enemy.png
if_half,306,325,163,16,16,gun_actions/if_half.png
if_hp,307,343,163,16,16,gun_actions/if_hp.png
if_projectile,308,361,163,16,16,gun_actions/if_projectile.png
inebriation,309,379,163,16,16,gun_actions/inebriation.png
infestation,310,397,163,16,16,gun_actions/infestation.png
kantele_a,311,415,163,16,16,gun_actions/kantele_a.png
kantele_a2,312,433,163,16,16,gun_actions/kantele_a2.png
kantele_b,313,451,163,16,16,gun_actions/kantele_b.png
kantele_c,314,469,163,16,16,gun_actions/kantele_c.png
kantele_d,315,487,163,16,16,gun_actions/kantele_d.png
kantele_dis,316,505,163,16,16,gun_actions/kantele_dis.png
kantele_e,317,523,163,16,16,gun_actions/kantele_e.png
kantele_f,318,541,163,16,16,gun_actions/kantele_f.png
kantele_g,319,559,163,16,16,gun_actions/kantele_g.png
kantele_gsharp,320,1,181,16,16,gun_actions/kantele_gsharp.png
keyshot,321,19,181,16,16,gun_actions/keyshot.png
knife,322,37,181,16,16,gun_actions/knife.png
knockback,323,55,181,16,16,gun_actions/knockback.png
knockback_unidentified,324,73,181,16,16,gun_actions/knockback_unidentified.png
lance,325,91,181,16,16,gun_actions/lance.png
lance_holy,326,109,181,16,16,gun_actions/lance_holy.png
lance_unidentified,327,127,181,16,16,gun_actions/lance_unidentified.png
larpa_chaos,328,145,181,16,16,gun_actions/larpa_chaos.png
larpa_chaos_2,329,163,181,16,16,gun_actions/larpa_chaos_2.png
larpa_death,330,181,181,16,16,gun_actions/larpa_death.png
larpa_downwards,331,199,181,16,16,gun_actions/larpa_downwards.png
larpa_upwards,332,217,181,16,16,gun_actions/larpa_upwards.png
laser,333,235,181,16,16,gun_actions/laser.png
laser_emitter,334,253,181,16,16,gun_actions/laser_emitter.png
laser_emitter_cutter,335,271,181,16,16,gun_actions/laser_emitter_cutter.png
laser_emitter_four,336,289,181,16,16,gun_actions/laser_emitter_four.png
laser_emitter_ray,337,307,181,16,16,gun_actions/laser_emitter_ray.png
laser_emitter_wider,338,325,181,16,16,gun_actions/laser_emitter_wider.png
laser_unidentified,339,343,181,16,16,gun_actions/laser_unidentified.png
lava_to_blood,340,361,181,16,16,gun_actions/lava_to_blood.png
levitation_field,341,379,181,16,16,gun_actions/levitation_field.png
levitation_field_unidentified,342,397,181,16,16,gun_actions/levitation_field_unidentified.png
levitation_projectile,343,415,181,16,16,gun_actions/levitation_projectile.png
lifetime,344,433,181,16,16,gun_actions/lifetime.png
lifetime_down,345,451,181,16,16,gun_actions/lifetime_down.png
lifetime_infinite,346,469,181,16,16,gun_actions/lifetime_infinite.png
light,347,487,181,16,16,gun_actions/light.png
light_bullet,348,505,181,16,16,gun_actions/light_bullet.png
light_bullet_timer,349,523,181,16,16,gun_actions/light_bullet_timer.png
light_bullet_timer_unidentified,350,541,181,16,16,gun_actions/light_bullet_timer_unidentified.png
light_bullet_trigger,351,559,181,16,16,gun_actions/light_bullet_trigger.png
light_bullet_trigger_2,352,1,199,16,16,gun_actions/light_bullet_trigger_2.png
light_bullet_trigger_2_unidentified,353,19,199,16,16,gun_actions/light_bullet_trigger_2_unidentified.png
light_bullet_trigger_timer,354,37,199,16,16,gun_actions/light_bullet_trigger_timer.png
light_bullet_trigger_unidentified,355,55,199,16,16,gun_actions/light_bullet_trigger_unidentified.png
light_bullet_unidentified,356,73,199,16,16,gun_actions/light_bullet_unidentified.png
light_shot,357,91,199,16,16,gun_actions/light_shot.png
lightning,358,109,199,16,16,gun_actions/lightning.png
lightning_ray,359,127,199,16,16,gun_actions/lightning_ray.png
lightning_ray_enemy,360,145,199,16,16,gun_actions/lightning_ray_enemy.png
lightning_unidentified,361,163,199,16,16,gun_actions/lightning_unidentified.png
line_arc,362,181,199,16,16,gun_actions/line_arc.png
liquid_to_explosion,363,199,199,16,16,gun_actions/liquid_to_explosion.png
long_distance_cast,364,217,199,16,16,gun_actions/long_distance_cast.png
luminous_drill,365,235,199,16,16,gun_actions/luminous_drill.png
luminous_drill_timer,366,253,199,16,16,gun_actions/luminous_drill_timer.png
machinegun_bullet,367,271,199,16,16,gun_actions/machinegun_bullet.png
magic_shield,368,289,199,16,16,gun_actions/magic_shield.png
mana,369,307,199,16,16,gun_actions/mana.png
mana_recharge,370,325,199,16,16,gun_actions/mana_recharge.png
material_acid,371,343,199,16,16,gun_actions/material_acid.png
material_acid_unidentified,372,361,199,16,16,gun_actions/material_acid_unidentified.png
material_blood,373,379,199,16,16,gun_actions/material_blood.png
material_blood_unidentified,374,397,199,16,16,gun_actions/material_blood_unidentified.png
material_cement,375,415,199,16,16,gun_actions/material_cement.png
material_debug,376,433,199,16,16,gun_actions/material_debug.png
material_dirt,377,451,199,16,16,gun_actions/material_dirt.png
material_gunpowder_explosive,378,469,199,16,16,gun_actions/material_gunpowder_explosive.png
material_lava,379,487,199,16,16,gun_actions/material_lava.png
material_liquid,380,505,199,16,16,gun_actions/material_liquid.png
material_oil,381,523,199,16,16,gun_actions/material_oil.png
material_oil_unidentified,382,541,199,16,16,gun_actions/material_oil_unidentified.png
material_water,383,559,199,16,16,gun_actions/material_water.png
material_water_unidentified,384,1,217,16,16,gun_actions/material_water_unidentified.png
matter_eater,385,19,217,16,16,gun_actions/matter_eater.png
megalaser,386,37,217,16,16,gun_actions/megalaser.png
meteor,387,55,217,16,16,gun_actions/meteor.png
meteor_rain,388,73,217,16,16,gun_actions/meteor_rain.png
meteor_unidentified,389,91,217,16,16,gun_actions/meteor_unidentified.png
midas,390,109,217,16,16,gun_actions/midas.png
mine,391,127,217,16,16,gun_actions/mine.png
mine_death_trigger,392,145,217,16,16,gun_actions/mine_death_trigger.png
mine_death_trigger_unidentified,393,163,217,16,16,gun_actions/mine_death_trigger_unidentified.png
mine_unidentified,394,181,217,16,16,gun_actions/mine_unidentified.png
misfire,395,199,217,16,16,gun_actions/misfire.png
misfire_critical,396,217,217,16,16,gun_actions/misfire_critical.png
missile,397,235,217,16,16,gun_actions/missile.png
mist_alcohol,398,253,217,16,16,gun_actions/mist_alcohol.png
mist_blood,399,271,217,16,16,gun_actions/mist_blood.png
mist_radioactive,400,289,217,16,16,gun_actions/mist_radioactive.png
mist_slime,401,307,217,16,16,gun_actions/mist_slime.png
mu,402,325,217,16,16,gun_actions/mu.png
necromancy,403,343,217,16,16,gun_actions/necromancy.png
nolla,404,361,217,16,16,gun_actions/nolla.png
nuke,405,379,217,16,16,gun_actions/nuke.png
nuke_giga,406,397,217,16,16,gun_actions/nuke_giga.png
nuke_unidentified,407,415,217,16,16,gun_actions/nuke_unidentified.png
ocarina_a,408,433,217,16,16,gun_actions/ocarina_a.png
ocarina_a2,409,451,217,16,16,gun_actions/ocarina_a2.png
ocarina_b,410,469,217,16,16,gun_actions/ocarina_b.png
ocarina_c,411,487,217,16,16,gun_actions/ocarina_c.png
ocarina_d,412,505,217,16,16,gun_actions/ocarina_d.png
ocarina_e,413,523,217,16,16,gun_actions/ocarina_e.png
ocarina_f,414,541,217,16,16,gun_actions/ocarina_f.png
ocarina_gsharp,415,559,217,16,16,gun_actions/ocarina_gsharp.png
oil_trail,416,1,235,16,16,gun_actions/oil_trail.png
oil_trail_unindentified,417,19,235,16,16,gun_actions/oil_trail_unindentified.png
oiled_4x_damage,418,37,235,16,16,gun_actions/oiled_4x_damage.png
oiled_freeze,419,55,235,16,16,gun_actions/oiled_freeze.png
omega,420,73,235,16,16,gun_actions/omega.png
omega_disc_bullet,421,91,235,16,16,gun_actions/omega_disc_bullet.png
orbit_discs,422,109,235,16,16,gun_actions/orbit_discs.png
orbit_fireballs,423,127,235,16,16,gun_actions/orbit_fireballs.png
orbit_larpa,424,145,235,16,16,gun_actions/orbit_larpa.png
orbit_lasers,425,163,235,16,16,gun_actions/orbit_lasers.png
orbit_nukes,426,181,235,16,16,gun_actions/orbit_nukes.png
